Gesture,Pressed,Released
Left_EyeBlink_threshold_time_window,0:00:06,0:00:09,
Right_EyeBlink_threshold_time_window,0:00:11,0:00:14,
Both_Eyeblink,0:00:19,0:00:21,
Left_EyeBlink,0:00:23,0:00:25,
Left_Head_Movement,0:00:26,0:00:28,
Right_EyeBlink,0:00:29,0:00:31,
Right_Head_Movement,0:00:32,0:00:34,
Both_Eyeblink,0:00:36,0:00:38,
Left_EyeBlink,0:00:39,0:00:41,
Left_Head_Movement,0:00:42,0:00:44,
Right_EyeBlink,0:00:45,0:00:47,
Right_Head_Movement,0:00:48,0:00:50,
