Gesture,Pressed,Released
Left_EyeBlink_threshold_time_window,0:00:08,0:00:11
Right_EyeBlink_threshold_time_window,0:00:13,0:00:17
Both_Eyeblink,0:00:20,0:00:22
Left_EyeBlink,0:00:24,0:00:26
Left_Head_Movement,0:00:27,0:00:30
Right_EyeBlink,0:00:31,0:00:32
Right_Head_Movement,0:00:34,0:00:36
Both_Eyeblink,0:00:37,0:00:40
Left_EyeBlink,0:00:41,0:00:43
Left_Head_Movement,0:00:45,0:00:48
Right_EyeBlink,0:00:50,0:00:52
Right_Head_Movement,0:00:53,0:00:55
